epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1059.76,0.91429,0.85476,1.24363,0.88697,0.81533,0.88912,0.71727,0.72333,0.62824,0.92584,0.0010793,0.0010793,0.0010793
95,1070.81,0.87667,0.85755,1.21205,0.84334,0.62338,0.73737,0.58051,0.89321,0.99435,1.09925,0.0010694,0.0010694,0.0010694
96,1081.92,0.86407,0.81988,1.21621,0.99053,0.83117,0.95093,0.80567,0.67474,0.56878,0.91375,0.0010595,0.0010595,0.0010595
97,1094.04,0.88152,0.81426,1.21281,0.86304,0.90909,0.9452,0.79139,0.67218,0.57633,0.89697,0.0010496,0.0010496,0.0010496
98,1105.13,0.84642,0.76794,1.19594,0.93047,0.86895,0.94539,0.77903,0.6712,0.55,0.93059,0.0010397,0.0010397,0.0010397
99,1116.18,0.87111,0.8338,1.21156,0.92035,0.83117,0.91308,0.73281,0.68613,0.63543,0.91787,0.0010298,0.0010298,0.0010298
100,1127.21,0.90533,0.80725,1.18467,0.85116,0.72727,0.74692,0.55329,0.9353,1.01725,1.13808,0.0010199,0.0010199,0.0010199
101,1138.22,0.93789,0.78202,1.22646,0.88719,0.87013,0.92791,0.74403,0.74076,0.58453,0.97326,0.00101,0.00101,0.00101
102,1149.27,0.89471,0.7341,1.20318,0.83695,0.73337,0.85593,0.62908,0.9264,0.82311,1.1318,0.0010001,0.0010001,0.0010001
103,1160.3,0.86597,0.80184,1.19919,0.85654,0.85297,0.92545,0.75571,0.66294,0.57201,0.91959,0.0009902,0.0009902,0.0009902
104,1171.38,0.81429,0.71545,1.17122,0.94432,0.8961,0.94593,0.78412,0.65054,0.52255,0.91554,0.0009803,0.0009803,0.0009803
105,1182.36,0.84729,0.72509,1.17601,0.91577,0.88312,0.93476,0.76033,0.66908,0.55059,0.91063,0.0009704,0.0009704,0.0009704
106,1193.43,0.85297,0.75636,1.16751,0.87996,0.87013,0.91846,0.73123,0.73495,0.61527,0.95239,0.0009605,0.0009605,0.0009605
107,1204.42,0.76353,0.66296,1.11034,0.96464,0.87013,0.93581,0.77649,0.63738,0.51739,0.88746,0.0009506,0.0009506,0.0009506
108,1215.51,0.81616,0.75269,1.14925,0.93052,0.87013,0.93277,0.77397,0.6834,0.50377,0.91682,0.0009407,0.0009407,0.0009407
109,1226.55,0.80792,0.74693,1.16198,0.91397,0.84416,0.88518,0.73993,0.6566,0.56261,0.90623,0.0009308,0.0009308,0.0009308
110,1237.6,0.81017,0.70388,1.14755,0.89723,0.83117,0.90858,0.74017,0.74362,0.58147,0.96246,0.0009209,0.0009209,0.0009209
111,1248.68,0.77422,0.68736,1.15166,0.92488,0.79221,0.91549,0.77314,0.68829,0.56871,0.91806,0.000911,0.000911,0.000911
112,1259.77,0.87849,0.80866,1.19286,0.85841,0.79221,0.84978,0.66465,0.76421,0.70406,1.00529,0.0009011,0.0009011,0.0009011
113,1270.8,0.81822,0.68388,1.12073,0.8318,0.70651,0.76741,0.55055,0.96956,1.06269,1.17532,0.0008912,0.0008912,0.0008912
114,1281.92,0.78041,0.67288,1.12156,0.91316,0.81939,0.90538,0.71921,0.77258,0.61116,1.00687,0.0008813,0.0008813,0.0008813
115,1292.99,0.79879,0.68927,1.15405,0.94865,0.85714,0.93906,0.76533,0.67195,0.52504,0.91596,0.0008714,0.0008714,0.0008714
116,1304.05,0.77645,0.64882,1.1379,0.94036,0.81903,0.92294,0.72797,0.743,0.60182,0.96654,0.0008615,0.0008615,0.0008615
117,1315.08,0.80767,0.70493,1.17125,0.91984,0.84416,0.95128,0.81087,0.6069,0.47328,0.87116,0.0008516,0.0008516,0.0008516
118,1327.23,0.80441,0.69648,1.12357,0.92486,0.83117,0.90741,0.76166,0.6134,0.55922,0.89816,0.0008417,0.0008417,0.0008417
119,1338.3,0.77185,0.6801,1.13924,0.91981,0.87013,0.95197,0.809,0.57697,0.50262,0.84013,0.0008318,0.0008318,0.0008318
120,1349.39,0.75806,0.66573,1.11524,0.88335,0.85714,0.9258,0.76713,0.60723,0.57654,0.8692,0.0008219,0.0008219,0.0008219
121,1360.39,0.71574,0.65349,1.09069,0.82164,0.83762,0.89458,0.71356,0.69937,0.67744,0.95301,0.000812,0.000812,0.000812
122,1371.41,0.78722,0.67248,1.16601,0.86002,0.8777,0.93516,0.77492,0.62514,0.50859,0.85771,0.0008021,0.0008021,0.0008021
123,1382.47,0.76142,0.66392,1.13778,0.94261,0.8532,0.93781,0.76051,0.65436,0.52384,0.88226,0.0007922,0.0007922,0.0007922
124,1393.53,0.73113,0.63372,1.11228,1,0.78171,0.94409,0.80966,0.57885,0.50393,0.83827,0.0007823,0.0007823,0.0007823
125,1404.56,0.77219,0.65677,1.15697,0.9461,0.84416,0.94473,0.82854,0.57809,0.47697,0.82381,0.0007724,0.0007724,0.0007724
126,1416.68,0.71264,0.66673,1.1031,0.9397,0.80959,0.91843,0.78161,0.61762,0.49649,0.86147,0.0007625,0.0007625,0.0007625
127,1427.76,0.69893,0.60548,1.08074,0.85546,0.84552,0.91793,0.77541,0.62203,0.56022,0.86377,0.0007526,0.0007526,0.0007526
128,1438.85,0.74393,0.60998,1.12709,0.8245,0.8961,0.92137,0.76716,0.67536,0.54694,0.89502,0.0007427,0.0007427,0.0007427
129,1449.89,0.72962,0.61343,1.11459,0.94416,0.87844,0.95314,0.79391,0.62497,0.49473,0.86449,0.0007328,0.0007328,0.0007328
130,1460.95,0.748,0.65761,1.14441,0.9448,0.88922,0.95198,0.79905,0.63586,0.47635,0.90224,0.0007229,0.0007229,0.0007229
131,1471.98,0.72122,0.61807,1.09773,0.9402,0.84416,0.91855,0.74744,0.70771,0.53069,0.94696,0.000713,0.000713,0.000713
132,1483.12,0.76897,0.68473,1.1375,0.94211,0.84536,0.90266,0.73732,0.62536,0.53919,0.8791,0.0007031,0.0007031,0.0007031
133,1494.19,0.76378,0.65267,1.11904,0.95605,0.84756,0.93624,0.78149,0.60862,0.47649,0.87176,0.0006932,0.0006932,0.0006932
134,1505.31,0.7237,0.63354,1.11682,0.95673,0.86153,0.94859,0.78925,0.64616,0.53388,0.90319,0.0006833,0.0006833,0.0006833
135,1516.35,0.71697,0.58053,1.09186,0.93621,0.81818,0.9133,0.75098,0.71637,0.61304,0.97235,0.0006734,0.0006734,0.0006734
136,1527.53,0.63962,0.60127,1.0588,0.87025,0.75325,0.83185,0.65378,0.79661,0.79002,1.01835,0.0006635,0.0006635,0.0006635
137,1538.64,0.6876,0.58353,1.06942,0.8861,0.8083,0.88972,0.71345,0.749,0.58244,0.95385,0.0006536,0.0006536,0.0006536
138,1549.7,0.72315,0.5883,1.10064,0.9471,0.85714,0.95314,0.76799,0.67599,0.46405,0.91351,0.0006437,0.0006437,0.0006437
139,1560.79,0.70795,0.59852,1.11344,0.9083,0.90054,0.94794,0.79693,0.64449,0.49501,0.88927,0.0006338,0.0006338,0.0006338
140,1571.9,0.66003,0.53633,1.09612,0.95621,0.90909,0.9628,0.81055,0.60097,0.46065,0.86146,0.0006239,0.0006239,0.0006239
141,1583.01,0.70858,0.59747,1.10131,0.96609,0.88312,0.95362,0.80471,0.62116,0.4736,0.86512,0.000614,0.000614,0.000614
142,1594.11,0.67899,0.57497,1.06157,0.91387,0.82679,0.91188,0.74086,0.6457,0.57132,0.8941,0.0006041,0.0006041,0.0006041
143,1605.19,0.66015,0.56333,1.05844,0.8864,0.77922,0.8909,0.67328,0.80677,0.65629,0.99784,0.0005942,0.0005942,0.0005942
144,1616.35,0.68004,0.57388,1.08933,0.92849,0.83117,0.93484,0.76072,0.67062,0.5023,0.91704,0.0005843,0.0005843,0.0005843
145,1627.4,0.6924,0.54749,1.09217,0.93936,0.85714,0.94494,0.78762,0.62435,0.45493,0.87212,0.0005744,0.0005744,0.0005744
146,1638.63,0.67954,0.5604,1.07279,0.91196,0.88312,0.95598,0.81793,0.60831,0.44084,0.84567,0.0005645,0.0005645,0.0005645
147,1649.74,0.64863,0.54509,1.05089,0.86965,0.86652,0.91442,0.75383,0.65739,0.55647,0.89564,0.0005546,0.0005546,0.0005546
